id;titulo;descricao;data_envio;observacao;modalidade;ch_cuprida;pontuacao;status;caminho_arquivo;tipo
1;Lindo Indian;Industrial Granito;2022-05-04T12:30:44;Paraná overriding;REGIONAL;15236;6450;NAO_CONCLUIDO;COM;CURSO_PRESENCIAL_OU_A_DISTANCIA
2;optimizing Regional;synergy;2022-05-04T18:41:20;open-source;NACIONAL;51911;34844;EM_AVALIACAO;Account Avon Pequeno;REPRESENTACAO_ESTUDANTIL
3;Toalhas Plástico;solution Web;2022-05-04T11:45:53;Corporate Enhanced;ONLINE;43774;39403;APROVADO_PARCIALMENTE;bandwidth;ATIVIDADE_TECNICA_EM_PRESA_JR
4;client-server;Avon;2022-05-04T12:43:36;port;NACIONAL;39326;30484;APROVADO_PARCIALMENTE;Metal Assistant Won;CURSO_MINISTRADO_EM_EVENTO
5;Senior up COM;Plástico Avenida Checking;2022-05-04T16:03:06;rich Intuitive payment;LOCAL;37122;67168;EM_AVALIACAO;Ceará HTTP;APRESENTACAO_PALESTRA_CONVIDADA
6;purposes cenoura Eletrônicos;calculating;2022-05-04T20:22:16;Algerian Corporate;INTERNACIONAL;78072;79874;APROVADO_PARCIALMENTE;program bleeding-edge sticky;PROJETO_DE_ENSINO
7;Nakfa Lindo;Avenida Technician;2022-05-04T21:50:48;Implementation Rio;LOCAL;72950;3744;CONCLUIDO;info-mediaries;ATIVIDADE_TECNICA_EM_PRESA_JR
8;invoice Sabonete;Travessa;2022-05-04T15:57:26;do Genérico reintermediate;ONLINE;72580;9935;APROVADO_PARCIALMENTE;attitude;VOLUNTARIO_NA_ORGANIZACAO_DE_EVENTO_PALESTRA
9;data-warehouse impactful;Gostoso GB Peso;2022-05-04T03:33:42;hacking Concreto SQL;ONLINE;79042;70203;EM_ESPERA;bypassing vertical Jóias;ATIVIDADE_DEVISITA_OU_EXCURSAO
10;withdrawal drive;leading Strategist;2022-05-04T22:19:58;Sabonete;NACIONAL;92652;48821;APROVADO_PARCIALMENTE;one-to-one Omani Rua;PUBLICACAO_DEARTIGO_TECNICO_EME_VENTO_CIENTIFICO
